Фрунзе. Том 3. Польская партия,Ланцов Михаил Алексеевич,1 093,41K,"Роман / Альтернативная история, Попаданцы во времени, Исторические приключения","Приключения обновленного Фрунзе продолжаются.На дворе уже 1928 год. Прошло не так много времени, однако Союз уже сумел серьезно сменить курс как внешней, так и внутренней политики. Отказался от Мировой революции. Разгромил Коминтерн. Избежал военной тревоги 1927 года и хлебной стачки.Зиновьев со Сталиным умерли, Литвинов с Ягодой и Тухачевским арестованы. Партия вычищена от случайных и фанатичных людей, а ее роль существенно уменьшена. НЭП же получил второе дыхание, что ничуть не помешало началу индустриализации. Более мягкой. Более продуманной. Более грамотной. С опорой на совершенно иные финансовые механизмы, нежели в оригинальной истории.Однако враг не дремлет. И в грядущем 1928 году Союз ожидают тяжелые испытания. УССР попытается отделиться из-за неудовлетворенных амбиций своих руководителей. В чем ей самым активным образом будет помогать Польша, Франция и Великобритания. Справится ли обновленный Фрунзе? Выживет ли? Удержит ли корабль Союза от крушения на скалах истории?"
Пожиратель душ. Том 11,Дорничев Дмитрий,1 717,106K,"Роман / Бояръ-Аниме, Попаданцы в магические миры, Боевое фэнтези","*Шокирующая аннотация и если ей верить, то в это книге произойдёт много невероятных событий*"
Фронтир. Роман Алексея Осадчука,Magic Dome Books,671,16K,"Роман / Бояръ-Аниме, Фэнтези, Фантастика","Никто доподлинно не знает причин возникновения Тени. Святоши говорят, что так боги прокляли этот мир. Философы утверждают, что Тень Стрикса — не иначе как благословление и новая веха в развитии людей. Несмотря на противоречия, и те и другие уверены, что Тень рано или поздно поглотит этот мир и изменит его до неузнаваемости. Но есть и те, кому плевать на мнение всех этих болтунов, это — маги. Они приняли Тень такой, какая она есть, со всеми ее ужасами и чудесами. Более того, на протяжении нескольких сотен лет маги, рискуя жизнью, пытались подчинить себе Силу Тени. Как и следовало ожидать, только избранные имеют доступ к знаниям о магии Тени. Макс Ренар понимает это. Поэтому он выбирает другой, более опасный путь. Он решает отправиться на фронтир, чтобы лично ощутить Силу Тени."
Простой советский спасатель,Дмитрий Буров,1 250,172K,"Роман / Альтернативная история, Попаданцы во времени, Приключения","Спасатель  МЧС всегда на службе, даже в ущерб собственной семье. Я был на работе, когда волею злого рока моя любимая женщина погибла в пожаре. Друзья и любимая работа — все что осталось у меня от прошлой жизни. Жизни, в которой пытался заглушить боль алкоголем…Но однажды «мотор» не выдержал, и я умер?.. Нет. Старушка судьба дала второй шанс. Мое сознание перенеслось в тело простого советского студента-второкурсника педагогического училища в далекий 1978 год.Курортный город, загорелые отпускницы, красивые студентки, верные друзья. Живи да радуйся. Но спасатель всегда остается спасателем. А где-то живет та, ради которой я готов отдать  свою новую жизнь без остатка…"
Последний реанорец. Том V,Вел Павлов,3 055,236K,"Роман / Попаданцы в магические миры, Боевое фэнтези, Бояръ-Аниме","Первый и второй том здесь: https://author.today/reader/182014/1522520-------------------------------------------------------------------------Я - Зеантар Ар-Ир Ор'Реанон. Убийца, мститель, кто-то даже называл Линчевателем и Жнецом Бездны. Но по своей натуре я искупитель, носитель Высшей речи и последний в своем роде реанорец.Я убивал, уничтожал, истреблял, испепелял и стирал с лица Мерраввина целые города и народы. Во имя мести и искупления.Но не зря любят философствовать замшелые пеньки из расы людей, что один в поле не воин.Так случилось и со мной...Но та, кому я посвящен с самого рождения, которой я был должен за грехи собственного народа, не осталась равнодушна к моим стараниям..."
Курсант: назад в СССР 2,Рафаэль Дамиров,3 498,493K,"Роман / Альтернативная история, Попаданцы во времени, Приключения",Продолжение приключений Андрея Петрова по прозвищу Курсант  в далеком 1978-м году.  Живая атмосфера СССР эпохи застоя. Все только начинается...
Кодекс Охотника,Юрий Винокуров,735,13K,"Роман / Бояръ-Аниме, Попаданцы, Боевое фэнтези","Я был Охотником и чтил Кодекс. За мои заслуги перед человечеством и ""правильную"" жизнь мне была положена награда. Новая жизнь после смерти и новый Мир, где я мог бы заслуженно отдохнуть.Но, что-то пошло не так. Мне снова нужно сражаться. В отличие от прошлой жизни, здесь мне противостоят Монстры, куда более страшные, чем в прошлой. Более хитрые, жестокие и непредсказуемые. И имя им…🔥НОВАЯ ГЛАВА КАЖДЫЙ ДЕНЬ"
Паладин,Sedrik&Rakot,3 575,256K,"Роман / Попаданцы в магические миры, РеалРПГ, Фэнтези","Данное произведение не является фанфиком, хотя и пишется по мотивам классического «аниме-исекая в вакууме». Ещё во время работы над «Алайментом» у нас возникло много наработок по теме того, как должен работать подобный мир, а так как там проект заглох из-за бездействия автора оригинала, мы решили попробовать создать самостоятельное произведение, где и реализовать задуманное, ну и заодно проверить, насколько труд, вкладываемый в оригинальные произведения, коммерчески оправдан. Кроме того, в данном тексте будет реализована другая давно зудящая у нас идея, а именно — адекватная Система Геймера, без всякого бреда с надмировыми администраторами, бонусами за то, что подумал «умную мысль», и прочими системными валютами за «очки эпатажа». Помимо этого, как видно по названию, мы таки решились испытать себя в написании доброго персонажа, который помогает людям. Это не значит, что он будет блаженным идиотом, мы скорее хотим показать паладина, в поступки и мотивы которого будешь верить."
Возрождение Феникса. Том 3,Григорий Володин,1 173,127K,"Роман / Попаданцы в магические миры, Бояръ-Аниме, Альтернативная история","Первый ТОМ - https://author.today/reader/201955Здесь была красивая, пафосная аннотация с эпичным возвышенным слогом и метафоричными оборотами, но по ней прополз Огненный Змей. Шшшшш...."
Новая жизнь владыки демонов,Соломенный Илья,1 199,167K,"Роман / Бояръ-Аниме, Попаданцы в магические миры, Альтернативная история","Я - Великий Джерлак, Повелитель Страха, безжалостный Владыка Преисподней, оказался предан и убит собственными генералами... Но всё-таки выжил! Попал на Землю, в тело бессильного человечка, наследника захудалого боярского рода.Теперь придётся начинать всё сначала: искать последователей, развивать древо силы и подминать под себя местные кланы! Хорошо, что у меня есть козырь - как оказалось, в жалком человеческом мире никто понятия не имеет о пути эфира! Способностях, что открываются благодаря всеобщему страху... или восхищению."
